symbol,year,E,S,G,ESG
A,2018,69.60249999999999,65.93,66.07,67.2
AA,2018,69.465,66.385,63.575,66.47500000000001
AACG,2018,57.9,61.2,69.48,62.86
AADI,2018,48.614999999999995,65.17500000000001,64.7325,59.505
AAIC,2018,72.42500000000001,77.38,72.5025,74.10000000000001
AAIN,2018,72.42500000000001,77.38,72.5025,74.10000000000001
AAL,2018,59.082499999999996,48.0925,68.50750000000001,58.5625
AAMC,2018,55.23,67.0875,71.71,64.67750000000001
AAME,2018,53.6375,49.14,62.3825,55.05500000000001
AAOI,2018,52.51,58.6875,58.6525,56.6125
AAON,2018,59.682500000000005,56.9925,67.8075,61.495
AAP,2018,76.235,57.9675,66.05250000000001,66.75
AAPL,2018,59.9325,49.7325,59.64,56.435
AAT,2018,63.9475,64.25,72.60499999999999,66.935
AAU,2018,56.3,62.7,63.25,60.75
AB,2018,55.254999999999995,45.5575,68.7525,56.52
ABBV,2018,88.77,77.24,59.6575,75.2225
ABC,2018,50.5375,70.765,64.9975,62.102500000000006
ABCB,2018,61.834999999999994,67.9575,69.705,66.5
ABEO,2018,64.4025,69.39250000000001,59.8125,64.5375
ABEV,2018,53.03,61.36,64.91,59.77
ABG,2018,73.6325,80.275,59.605000000000004,71.16999999999999
ABIO,2018,58.485,58.55499999999999,57.08,58.035
ABM,2018,83.925,59.99249999999999,64.17,69.3625
ABR,2018,59.7375,70.22,69.8075,66.5875
ABT,2018,52.285000000000004,72.57,69.36,64.7375
ABUS,2018,73.7775,66.6075,66.1225,68.835
ABVC,2018,60.5475,75.38749999999999,68.345,68.095
AC,2018,66.61,75.3925,64.7125,68.905
ACA,2018,63.370000000000005,57.739999999999995,62.66,61.254999999999995
ACAD,2018,61.81,51.825,62.675,58.767500000000005
ACCO,2018,48.5725,63.4725,63.894999999999996,58.647499999999994
ACEL,2018,73.48249999999999,77.22999999999999,67.7525,72.825
ACER,2018,58.5125,59.8,59.91,59.4075
ACET,2018,54.647499999999994,66.9975,65.58999999999999,62.41
ACGL,2018,53.96,57.8275,56.9875,56.255
ACGLN,2018,53.96,57.8275,56.9875,56.255
ACGLO,2018,53.96,57.8275,56.9875,56.255
ACHC,2018,49.394999999999996,61.065,60.27000000000001,56.9075
ACHV,2018,59.72,58.205,63.5475,60.49250000000001
ACI,2018,62.475,56.94,60.56,59.99250000000001
ACIU,2018,60.2,65.02,63.93,63.05
ACIW,2018,67.05000000000001,67.97749999999999,62.152499999999996,65.7275
ACLS,2018,71.3075,62.584999999999994,63.6575,65.85
ACM,2018,61.0125,53.155,56.265,56.81
ACMR,2018,59.14750000000001,47.1975,65.18,57.175
ACN,2018,65.93249999999999,69.47,69.0325,68.14750000000001
ACNB,2018,63.752500000000005,71.8125,59.752500000000005,65.1075
ACOR,2018,61.902499999999996,60.5375,62.2225,61.5525
ACR,2018,43.245000000000005,67.3125,66.575,59.042500000000004
ACRE,2018,68.2475,68.28,72.97749999999999,69.83749999999999
ACRS,2018,55.385000000000005,72.5625,66.2125,64.7225
ACRX,2018,53.620000000000005,59.89,61.762499999999996,58.425
ACST,2018,58.78,64.3,64.75,62.61
ACTG,2018,57.44,49.61750000000001,67.53750000000001,58.1975
ACU,2018,63.167500000000004,65.1825,63.39000000000001,63.91250000000001
ADAP,2018,53.3425,59.5225,61.589999999999996,58.1525
ADBE,2018,63.99,65.35499999999999,63.2725,64.205
ADC,2018,62.1675,68.03750000000001,67.55749999999999,65.9225
ADES,2018,71.255,75.1875,73.2375,73.23
ADI,2018,54.405,57.9825,68.36000000000001,60.25
ADIL,2018,66.31,60.14333333333334,62.26,62.906666666666666
ADM,2018,67.78,61.345,68.375,65.835
ADMA,2018,65.3025,67.7525,60.91250000000001,64.6575
ADMP,2018,51.535000000000004,61.93,62.565000000000005,58.6775
ADN,2018,70.44,75.69,63.25,69.79
ADNT,2018,79.3675,57.57,63.11,66.6825
ADNWW,2018,70.44,75.69,63.25,69.79
ADP,2018,76.495,72.915,65.355,71.5875
ADSK,2018,69.5475,62.07,61.6575,64.425
ADT,2018,62.4075,71.44,69.8725,67.905
ADTN,2018,60.89750000000001,64.6725,66.6375,64.07000000000001
ADUS,2018,68.7925,61.1175,61.0525,63.655
ADVM,2018,46.175,62.24,57.99,55.465
AE,2018,62.55,43.157500000000006,63.2825,56.33
AEE,2018,71.00999999999999,79.77,62.252500000000005,71.01
AEFC,2018,60.58,60.38,59.65,60.2
AEG,2018,60.58,60.38,59.65,60.2
AEHL,2018,57.87,60.13,65.36,61.12
AEHR,2018,68.5375,77.525,58.0425,68.035
AEIS,2018,74.4425,44.957499999999996,66.20500000000001,61.8675
AEL,2018,67.3875,69.63999999999999,66.22999999999999,67.7525
AEM,2018,58.84,50.0,63.36,57.4
AEMD,2018,57.24,56.2975,69.4525,60.997499999999995
AENZ,2018,61.62,60.75,60.23,60.87
AEO,2018,78.6275,61.3475,62.2675,67.41499999999999
AEP,2018,66.41,69.94749999999999,60.9975,65.785
AEPPZ,2018,66.41,69.94749999999999,60.9975,65.785
AER,2018,60.89,57.82,67.6,62.1
AES,2018,66.025,67.2125,63.6075,65.6125
AESC,2018,66.025,67.2125,63.6075,65.6125
AEY,2018,61.277499999999996,76.5575,64.595,67.47500000000001
AEYE,2018,59.302499999999995,68.2975,61.3075,62.964999999999996
AEZS,2018,59.44,70.54,70.01,66.67
AFG,2018,60.7175,51.1925,60.370000000000005,57.425
AFGB,2018,60.7175,51.1925,60.370000000000005,57.425
AFGC,2018,60.7175,51.1925,60.370000000000005,57.425
AFGD,2018,60.7175,51.1925,60.370000000000005,57.425
AFGE,2018,60.7175,51.1925,60.370000000000005,57.425
AFL,2018,65.355,71.19,65.785,67.445
AFMD,2018,59.39,71.15,64.36,64.96
AG,2018,61.2,92.78,56.26,70.08
AGCO,2018,56.4675,62.42,63.345,60.745
AGE,2018,60.82,58.49,66.23,61.85
AGEN,2018,57.145,61.40249999999999,61.489999999999995,60.0125
AGIO,2018,61.14,67.79750000000001,64.355,64.42999999999999
AGLE,2018,50.6975,62.055,59.067499999999995,57.2725
AGM,2018,72.47749999999999,78.6125,68.91,73.3325
AGMH,2018,61.97,58.8,64.98,61.92
AGNC,2018,66.955,86.5475,70.645,74.715
AGNCM,2018,66.955,86.5475,70.645,74.715
AGNCN,2018,66.955,86.5475,70.645,74.715
AGNCO,2018,66.955,86.5475,70.645,74.715
AGNCP,2018,66.955,86.5475,70.645,74.715
AGO,2018,60.3975,59.735,66.89500000000001,62.3425
AGR,2018,73.48,55.7025,60.015,63.0675
AGRO,2018,68.98,59.23,62.53,63.58
AGRX,2018,65.215,57.66,58.6325,60.5025
AGS,2018,64.01,75.97,64.94749999999999,68.31
AGTI,2018,61.19,65.87,66.54,64.53
AGX,2018,73.03,67.4425,65.455,68.6425
AGYS,2018,70.6425,66.5575,64.83,67.345
AHCO,2018,66.67750000000001,78.9325,64.08250000000001,69.895
AHG,2018,52.15,60.33,63.77,58.75
AHH,2018,60.3625,66.345,62.7025,63.1375
AHT,2018,54.4025,55.7125,71.26,60.457499999999996
AIC,2018,72.42500000000001,77.38,72.5025,74.10000000000001
AIG,2018,64.0775,49.95,58.955000000000005,57.6575
AIHS,2018,62.065,57.269999999999996,65.2825,61.5375
AIM,2018,72.015,70.445,64.25,68.905
AIMD,2018,58.269999999999996,68.63,64.705,63.8675
AIN,2018,66.4425,53.935,67.22999999999999,62.535
AINC,2018,50.00999999999999,73.4525,73.52250000000001,65.66
AIR,2018,58.925000000000004,58.105000000000004,62.529999999999994,59.855000000000004
AIRG,2018,60.53,76.11,58.582499999999996,65.075
AIRI,2018,57.825,55.8175,64.98500000000001,59.545
AIRT,2018,55.62499999999999,64.9,64.33500000000001,61.6225
AIT,2018,74.8975,75.935,70.935,73.925
AIV,2018,59.105,64.1825,72.04750000000001,65.1125
AIZ,2018,62.76249999999999,68.2675,68.0675,66.36500000000001
AIZN,2018,62.76249999999999,68.2675,68.0675,66.36500000000001
AJG,2018,70.20500000000001,55.95,63.9125,63.355000000000004
AJX,2018,81.08749999999999,61.4975,75.50999999999999,72.7
AJXA,2018,81.08749999999999,61.4975,75.50999999999999,72.7
AKAM,2018,62.21000000000001,61.22,68.06,63.830000000000005
AKBA,2018,59.73,66.41499999999999,63.875,63.337500000000006
AKR,2018,68.845,64.7075,72.57,68.7075
AKTS,2018,63.642500000000005,63.8825,65.965,64.4975
AKTX,2018,53.07,66.34,61.15,60.19
AL,2018,60.084999999999994,52.2725,64.8875,59.08
ALB,2018,74.3725,79.285,70.69749999999999,74.7875
ALCO,2018,63.165,66.04,66.9275,65.3775
ALDX,2018,49.8725,43.08,60.745,51.23
ALE,2018,70.405,68.65,67.4225,68.825
ALEC,2018,58.6,61.31,63.46,61.12
ALEX,2018,64.9025,70.3125,71.89,69.035
ALG,2018,65.4175,43.995,60.4675,56.625
ALGN,2018,63.0625,49.21,69.2,60.49
ALGT,2018,65.36500000000001,68.0525,65.67500000000001,66.36
ALIM,2018,51.5075,63.035,60.987500000000004,58.5075
ALK,2018,65.6875,65.5675,61.815,64.35499999999999
ALKS,2018,50.9375,70.8425,61.4825,61.0825
ALL,2018,51.3025,57.52499999999999,61.195,56.675
ALLE,2018,67.1875,68.7975,67.20250000000001,67.73
ALLK,2018,56.223333333333336,59.5,57.82666666666666,57.84666666666667
ALLO,2018,58.915,58.965,62.765,60.215
ALLT,2018,64.97,57.86,66.37,63.07
ALLY,2018,66.7875,69.8625,58.16,64.935
ALNY,2018,56.6175,57.0425,64.14999999999999,59.267500000000005
ALOT,2018,59.4725,72.2325,71.045,67.58
ALPN,2018,57.1075,56.405,61.5175,58.345000000000006
ALPP,2018,71.95,62.415,61.9025,65.425
ALRM,2018,68.84,62.4825,60.417500000000004,63.915
ALRN,2018,58.94500000000001,61.285,61.19,60.4725
ALSN,2018,65.22749999999999,62.0875,66.8075,64.7075
ALT,2018,52.052499999999995,62.4875,60.7975,58.4475
ALTO,2018,63.5875,57.644999999999996,58.197500000000005,59.81
ALTR,2018,65.5975,61.135,68.60000000000001,65.1125
ALV,2018,73.91000000000001,61.45,62.515,65.95750000000001
ALX,2018,45.769999999999996,53.0125,65.59,54.78999999999999
AM,2018,66.745,65.38,62.04750000000001,64.72500000000001
