symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2019,5163000000.0,2358000000.0,2805000000.0,0.5432887856,404000000.0,0.0,0.0,1864000000.0,4222000000.0,36000000.0,74000000.0,290000000.0,1231000000.0,0.238427271,941000000.0,0.1822583769,-22000000.0,919000000.0,0.1779972884,-152000000.0,1071000000.0,0.2074375363,3.41,3.37
AA,2019,10433000000.0,8537000000.0,1896000000.0,0.1817310457,27000000.0,0.0,0.0,1020000000.0,9557000000.0,0.0,121000000.0,713000000.0,1427000000.0,0.1367775328,714000000.0,0.0684366913,-1152000000.0,-438000000.0,-0.041982172,415000000.0,-853000000.0,-0.0817598006,-4.6,-4.6
AADI,2019,0.0,0.0,0.0,0.0,12824402.0,9756185.0,0.0,22437858.0,22437858.0,0.0,0.0,76501.0,-23194013.0,0.0,-22437858.0,0.0,-832656.0,-23270514.0,0.0,-832656.0,-23270514.0,0.0,-1.12,-1.12
AAIC,2019,28757000.0,0.0,28757000.0,1.0,0.0,15015000.0,0.0,-15015000.0,-15015000.0,123478000.0,97250000.0,0.0,13742000.0,0.4778662587,13742000.0,0.4778662587,0.0,13742000.0,0.4778662587,0.0,13742000.0,0.4778662587,0.31,0.31
AAL,2019,45768000000.0,35379000000.0,10389000000.0,0.2269926586,0.0,0.0,1602000000.0,6689000000.0,42068000000.0,127000000.0,1095000000.0,2318000000.0,3351000000.0,0.0732170949,1033000000.0,0.0225703548,1223000000.0,2256000000.0,0.0492920818,570000000.0,1686000000.0,0.0368379654,3.8,3.79
AAMC,2019,15762000.0,17029000.0,-1267000.0,-0.0803832001,0.0,7758000.0,0.0,7758000.0,24787000.0,0.0,0.0,737000.0,-15620000.0,-0.990990991,-16357000.0,-1.0377490166,14082000.0,-2275000.0,-0.1443344753,338000.0,-2613000.0,-0.1657784545,-1.64,-1.64
AAME,2019,198179000.0,0.0,198179000.0,1.0,0.0,0.0,0.0,-198776000.0,198586000.0,0.0,2130000.0,996000.0,399000.0,0.0020133314,-597000.0,-0.0030124282,190000.0,-407000.0,-0.0020536989,-21000.0,-386000.0,-0.0019477341,-0.0189,-0.0189
AAN,2019,1784477000.0,672461000.0,1112016000.0,0.6231607356,0.0,499993000.0,0.0,926767000.0,1599228000.0,0.0,16967000.0,601964000.0,791094000.0,0.4433198074,189130000.0,0.1059862357,-154860000.0,34270000.0,0.0192045064,6171000.0,28099000.0,0.0157463503,0.83,0.83
AAOI,2019,190872000.0,144671000.0,46201000.0,0.2420522654,43399000.0,41489000.0,10060000.0,94948000.0,239619000.0,925000.0,5405000.0,2745000.0,-46002000.0,-0.2410096819,-48747000.0,-0.2553910474,-2640000.0,-51387000.0,-0.269222306,14662000.0,-66049000.0,-0.3460381827,-3.31,-3.31
AAON,2019,469333000.0,349908000.0,119425000.0,0.2544568569,0.0,48507000.0,818000.0,52077000.0,401985000.0,66000.0,0.0,23440000.0,90451000.0,0.192722438,67011000.0,0.1427792207,20000.0,67031000.0,0.1428218344,13320000.0,53711000.0,0.1144411324,1.03,1.02
AAP,2019,9709003000.0,5454257000.0,4254746000.0,0.4382268705,0.0,0.0,0.0,3577566000.0,9031823000.0,0.0,39898000.0,238835000.0,916015000.0,0.0943469685,677180000.0,0.0697476353,-39434000.0,637746000.0,0.0656860442,150850000.0,486896000.0,0.0501489185,6.87,6.84
AAPL,2019,260174000000.0,161782000000.0,98392000000.0,0.3781776811,16217000000.0,0.0,0.0,34462000000.0,196244000000.0,4961000000.0,3576000000.0,12547000000.0,76477000000.0,0.2939455903,63930000000.0,0.2457201719,1807000000.0,65737000000.0,0.2526655238,10481000000.0,55256000000.0,0.2123809451,2.99,2.97
AAT,2019,366741000.0,131980000.0,234761000.0,0.6401275014,0.0,24871000.0,0.0,121076000.0,253056000.0,696000.0,54008000.0,96083000.0,209768000.0,0.5719785898,113685000.0,0.3099871571,-53497000.0,60188000.0,0.1641158202,819000.0,60188000.0,0.1641158202,0.84,0.84
AB,2019,266292000.0,0.0,266292000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266292000.0,1.0,266292000.0,1.0,0.0,266292000.0,1.0,27729000.0,238563000.0,0.8958699473,2.49,2.49
ABBV,2019,33266000000.0,7439000000.0,25827000000.0,0.7763782841,6407000000.0,0.0,0.0,12459000000.0,19898000000.0,275000000.0,1509000000.0,812000000.0,13795000000.0,0.4146876691,12983000000.0,0.3902783623,-4557000000.0,8426000000.0,0.2532916491,544000000.0,7882000000.0,0.236938616,5.3,5.28
